id,title,company,location,posted_date,job_description,job_url,search_role,search_location,extracted_skills,skills_count,scraped_at
4418215748,Actuarial Analyst,LIUGONG FINANCE INDONESIA,"North Jakarta, Jakarta, Indonesia (On-site)",,"About the job

What Will You Do?

Perform actuarial analysis to support product pricing, risk assessment, and business decision-making
Develop and maintain pricing models for financial/insurance-related products
Conduct data analysis to evaluate risk exposure, claim trends, and portfolio performance
Assist in calculating reserves and provisioning in accordance with applicable standards
Support product development by providing insights on pricing strategy and risk factors
Prepare regular and ad-hoc reports related to actuarial analysis and portfolio performance
Collaborate with cross-functional teams (Credit, Risk, and Finance) to ensure alignment between pricing and business strategy




What Are We Looking For?

Bachelor’s degree in Actuarial Science, Mathematics, Statistics, or related quantitative fields from a reputable university
Minimum 1–3 years of experience in actuarial, pricing, or data analytics role (fresh graduates with strong academic/internship background are welcome to apply)
Strong analytical and quantitative skills
Familiarity with statistical tools or programming languages such as Python, R, or SQL is a strong advantage
Strong communication skills, with the ability to explain technical results in a simple way
Fluent in English (written and spoken)",https://www.linkedin.com/jobs/view/4418215748/?eBP=CwEAAAGeeQM3W3vrb3ldMYoXdTqSkOUrWmlnBWohW32Wp8VOBbneh0H3CsFVYwbMCcYID5wzC-gQeQoBEFxodAraOOsAvHfyDsYYCkKuM3Nf4475xJUWc-ogHYysg4ZN9OYth19fIhFPhCmS2zktQi9pW6WGmZfLqXAEI4kACYCLRAkHwLYC7C_wqHK1rTbnuBk1klpxfjulbmvmJR63IQLVNN-PnzqQx69rtZy5-Da-Z9Kv81mQ0G5sdkxTTre3m3A56nbXo0DcPEVpM4VRO75jtLYB8krSnHoJsCkQ1dm5RV42PSK7S1WejBKJuw19HhblzEuF7ii3auwzcKBKXrH3pHu1sc4OFkzoHHiKCXBiALMPK6zSqak9mB4U4Hmhb_k6FzTysTVH20SlhZ5m30syGDB4jOIMNUc_OOQUj0lHNaUB02Z_FsI3Ymq0E8Eeoy42bQYTBjP05RY&refId=2un2uXLQmWg1PrQY4NV1GA%3D%3D&trackingId=ipFsGiQADb%2FCqEsoIIKQYQ%3D%3D&trk=flagship3_search_srp_jobs,Data Scientist,Indonesia,"['sql', 'python']",2,2026-05-30T20:12:12.852937
4419172307,Intern [GIP] - Research & Data Analytics,Grab,Jakarta Metropolitan Area (On-site),,"About the job

Company Description

About Grab and Our Workplace

Grab is Southeast Asia's leading superapp. From getting your favourite meals delivered to helping you manage your finances and getting around town hassle-free, we've got your back with everything. In Grab, purpose gives us joy and habits to build excellence, while harnessing the power of Technology and AI to deliver the mission of driving Southeast Asia forward by economically empowering everyone, with heart, hunger, honour, and humility.

Job Description

Grab Internship Program Overview:

Be a part of an exciting internship that last 4.5 Months from July 2026 - December 2026.

Work placement may be vary across Indonesia, ie, Jakarta, Medan, Surabaya, Bali, Semarang, Yogyakarta or where Grab operates.


You will be based onsite. You will be reporting to the Team Manager.
You will have to do research on our products and the market, where the output expectation is to support our new and ongoing programs. You will give suggestions and actions for our product development.


Qualifications

What Essential Skills You Will Need


Minimum GPA of 3.25 from reputable universities
College students or fresh graduates with a background in Economics, Management, Industrial Engineering, Statistics, or other similar majors.
Interpret large datasets, identify trends, and provide relevant insights.
Experience operating Microsoft Excel, Google Spreadsheets, or other data visualization & analysis tools would be a high plus, ie SQL, Phyton.
English proficiency in both written and verbal.


Additional Information

Life at Grab

We care about your well-being at Grab, here are some of the global benefits we offer our Interns:


Comprehensive training and personal development programs: You will develop your soft skills and hard skills curated for you
Mentoring by the Grab Leaders: You will be accompanied by a team of experienced leaders during the internship program
Government Medical benefit: We have you covered with 3 BPJAMSOSTEK programs
Engagement and networking activities: You will participate in fun & interactive engagements that not only entertain but also provide valuable networking opportunities
Balancing personal commitments and life's demands are made easier with our Flex Work arrangements such as differentiated hours


What We Stand For At Grab

We are committed to building an inclusive and equitable workplace that provides equal opportunity for Grabbers to grow and perform at their best. We consider all candidates fairly and equally regardless of nationality, ethnicity, race, religion, age, gender, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique.",https://www.linkedin.com/jobs/view/4419172307/?eBP=BUDGET_EXHAUSTED_JOB&refId=2un2uXLQmWg1PrQY4NV1GA%3D%3D&trackingId=iS13go%2BdBzGzDY9Ej69AEw%3D%3D&trk=flagship3_search_srp_jobs,Data Scientist,Indonesia,['sql'],1,2026-05-30T20:12:17.872690
4420800196,Financial Planning and Analysis Intern,PT Indo Korda Tbk,"Citeureup, West Java, Indonesia (On-site)",,"About the job

PT Indo Kordsa Tbk opens an On-site Paid Internship Program from July to December 2026 for the final year students of Undergraduate Study (S1) for the following opportunities:

Financial Planning & Analysis Intern in FP&A Department




The requirements to join this internship program are:

A final year university student in Accounting/Finance major.
Have competencies in Advance English communication skills, both verbal and written;
Giving Value to Differences; Being Resilience; Displaying Courage; and Learning From Experience.
Able to come to Indo Kordsa Office daily - 4 days a week from Monday to Thursday in the Office and 1 day WFH on Fridays.




Interns will get a monthly internship stipend, free flow coffee and free lunch at Office Cafeteria, a shuttle car for Jakarta & Bogor area, also multinational work environment and development programs.




The candidates can apply and submit their profiles maximum on June 10, 2026.",https://www.linkedin.com/jobs/view/4420800196/?eBP=CwEAAAGeeQM3XAXKKk941H4XALyECT7yW50ZkOXp9Kj41zgXvIhow_PgU76hUUzEJw71Vy1v0VQ7MUnt9JuTRjN-9T1EYugL3WDvGt-r4ezseEX99yOVgbnd_g0n1H7wW64irzdB8_doRODgOAXPHf8DuhEwcvKc51sjY_iNOTsR3cVrdV7REojkqodrn_D_zJ4-gqUrybXZvCxnxzAvvTx1kbT2qMp0iZb84fWoca4lTCcYGFKXqa3Y6ljzx-N_21RB_NnGL8Ymoi5VtmM5fYY1CUJmw53vgAK7NLmdMh6v3sNGIrQGweERDY5a4E040f0ycR3qpccDyq2D2iv43mwklm6RyLkhcHDReMx7j78S2eiGsMP1ZO-0Bvoi3tGsRqJIzrAbxkz-9y7t3h0jsZY6UuMBVX4o_XoPQM7yy-0XKtoNHfRUGbTQIJRPqodDmf0MagHvTTy9LCaEY2gnWSGiVPwKF2_yS24UUy-BmkOL&refId=2un2uXLQmWg1PrQY4NV1GA%3D%3D&trackingId=1SetM%2Bn%2FjBq8oU9DgGImFQ%3D%3D&trk=flagship3_search_srp_jobs,Data Scientist,Indonesia,[],0,2026-05-30T20:12:22.870122
4421427547,Intern - All Function,PT Bank Neo Commerce Tbk,"Jakarta, Indonesia (On-site)",,"About the job

PT Bank Neo Commerce Tbk, formerly PT Bank Yudha Bhakti Tbk, is an Indonesia-based company primarily engaged in the banking business. The Company operates as a technology-based bank. The Company serves customers in the Small and Medium Business (SME), Retail (Consumer), and Mass Market segments, through banking products and services embedded in an ecosystem by optimizing technology.




Are you ready to launch your career in the technology and banking industry? We’re looking for enthusiastic interns to join us!




Job Description:

Getting familiar and involved with the business's products and services
Participates in projects and programs designed to develop professional skills and expertise appropriate to the needs of the organization
Interacts directly with colleagues and/or other internal or external stakeholders for day-to-day tasks
Receives guidance, training, and mentoring from mentors in carrying out activities and assignments
Assisting the assigned team’s BAU and ad-hoc projects
Researching and proposing new ideas and projects to improve the team’s workflow




Requirements:

University student in their 5th semester above, or a fresh graduate
An effective communicator in both English and Bahasa
Possesses a strong desire to succeed and willingness to learn new things
Ability to work both independently and in a team environment
Willing to work from office, located in South Jakarta with a minimum 6-month contract




Ready to jumpstart your career? Apply now!",https://www.linkedin.com/jobs/view/4421427547/?eBP=CwEAAAGeeQM3XFlxnd0jukNK7nnjPJkWHwAACIBrQGWc1jEp9PU-16A-v8Nqn0FIgNljUfbd-3LHAoO9LRWTvo6mCVfjolZ11_IgaVh6oGz_xPDLQ-7CLCaho-4HMB4nErWZzJpZYo862p8EZlaMcnm2ZOIfQm-v-FuHxnB3SgqfcN4LgRcikinamKJ8XwG1GA70gzFNgGV9mrqQljFN_R67DeWmRxr9kJIcAWaD2uAU4ZVn-pPso7WLGhMDHfA2hZPyVLZE8cVGg1k_h9wWzlWY-fYlQoy63up1dG2SLFwdROk1CPPDFrJNedmPx6r70khWi41A-vBMysdW9rciVDK50wnrMvFaenOGS3q0_1xaYAOTzLIA24PE1Oo6ePBRybGWliAvPTf5ydoYa0qIivUG1S5HrWF_1sr3abZUPltwC3oK4tGtHxVmvmxIIoKvX62ddtGMly6trXnpIJa0PRzFfa_wVv5diE2dhESLCnkR4qiBRxvSFD1vlS-BDFB3mbw&refId=2un2uXLQmWg1PrQY4NV1GA%3D%3D&trackingId=ga9JWsutjYHAIFRQBCN8AA%3D%3D&trk=flagship3_search_srp_jobs,Data Scientist,Indonesia,[],0,2026-05-30T20:12:27.977504
4421795333,Data Marketing - KFHO,"PT. KIMIA FARMA, TBK","Gambir, Jakarta, Indonesia (On-site)",,"About the job

Pendidikan

Jenjang pendidikan: S1.

Jurusan: Teknik Informatika, Data Science.

IPK minimal: 3.1.

Persyaratan Dokumen


 CV
 KTP
 KTM


Tanggal penting

Durasi : 6 bulan

Penutupan lamaran : 5 Juni 2026

Pengumuman lolos seleksi : 14 Juni 2026

Rincian Lowongan

Kualifikasi


Mahasiswa/i jurusan IT, Data Analyst atau Data Science
Setting sistem dan olah data
Mahir dalam mengoperasikan Microsoft Excell
Bersedia magang selama 6 bulan",https://www.linkedin.com/jobs/view/4421795333/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=2un2uXLQmWg1PrQY4NV1GA%3D%3D&trackingId=wvqFT2JCTwthazOYFOb20g%3D%3D&trk=flagship3_search_srp_jobs,Data Scientist,Indonesia,[],0,2026-05-30T20:12:33.127979
4407765578,Retail Operations Intern,Carousell Group,Jakarta Metropolitan Area (Hybrid),,"About the job

Uraian Perusahaan

Carousell Group is the leading multi-category platform for secondhand in Greater Southeast Asia on a mission to make secondhand the first choice. Founded in August 2012 in Singapore, the Group has a leading presence in seven markets under the brands Carousell, Carousell Media Group, Cho Tot, Laku6, LuxLexicon, Mudah.my, OneShift, REFASH and Revo Financial, serving tens of millions of monthly active users. Carousell is backed by leading investors including Telenor Group, Rakuten Ventures, Naver, STIC Investments, 500 Global and Peak XV Partners (formerly known as Sequoia Capital India). Visit here for more information.

Laku6 is the leading AI-first end-to-end electronics recommerce platform in Indonesia where our technology has helped over 500,000 users sell their gadgets directly for cash or via Trade-In with leading eCommerce Partners. Laku6 is part of Carousell Group, the leading multi-category platform for secondhand in Greater Southeast Asia on a mission to make secondhand the first choice. Founded in August 2012 in Singapore, the Group has a leading presence in seven markets under the brands Carousell, Carousell Media Group, Cho Tot, Laku6, LuxLexicon, Mudah.my, OneShift, REFASH and Revo Financial, serving tens of millions of monthly active users. Carousell is backed by leading investors including Telenor Group, Rakuten Ventures, Naver, STIC Investments, 500 Global and Peak XV Partners (formerly known as Sequoia Capital India).

Visit www.laku6.com/ for more information.

Uraian Pekerjaan

Responsibilities


 Administrative & Operational Support
Manage and organize store operational documents (attendance, checklists, etc.)
Perform regular data input and updates to ensure accurate records
Maintain proper documentation and ensure administrative accuracy
 Data & Database Management
Input and maintain accuracy of data related to inventory, attendance, and store operations
Conduct routine data checks and validation
Organize and maintain databases to ensure easy access and usability
 Reporting & Analysis
Assist in preparing daily and weekly reports (attendance, operational performance, etc.)
Process and analyze basic data to support monitoring and decision-making
Coordinate with relevant teams to ensure data accuracy and consistency
 Store Operations Support
Monitor store attendance and staff compliance
Support periodic Quality Assurance (QA) checks (not on a daily basis)
Assist in ensuring store operations run according to company standards
Provide general operational support as required by the team


Kualifikasi

Requirements


Final-year student (last semester) or active university student
Strong attention to detail and good organizational skills
Comfortable working with data (Excel / Google Sheets)
Good communication and coordination skills
Proactive, responsible, and willing to learn in a fast-paced environment


Informasi Tambahan

Hybrid Working Arrangement

By proceeding with your application, you are adhering to our PDPA policies. In case you are interested to know more, read about our Candidates Personal Data Privacy Statement.",https://www.linkedin.com/jobs/view/4407765578/?eBP=CwEAAAGeeQM3XIrObWv0epoBBPfpsJLCXUvqsBPgd-miKIxDS11bOx8ZbRPULGfRIy9XuU9D8qOcY37hIVU9e1ggr0LxnCdWh3jD2Nh6LS2_ln1CdFdjzT42Vgyx1TrbS37_G0LTNWsPwZen-Jne3NHb9W2mEJwmuFCboIY58Q6YHDjOz0ygjmhaBZlZrU2rxZ3gMhZ4zE4IQoz6o49UPph-pzUTfU-Y0eJV8A-0l6Av95lk_glKWLmnhkjH94iOxQ3rpnXR7jd7uzQgaiMg6lUQWUyXo66krG-RMjxLh3yYEFguMEeBvqkgQQbjoOQY3ct11oivZO13Q7V-d6zoSe1w4aDaqWJQ7_5z34Iim0gy1cKnMpDEpQRBj4fL1EFQvV1kgMYMHmfX2LmfaFbnwu0VyhHcfXSnrNDUF7gbgFPV0IjtlYsxdQjJBDUSFBdr_eOw2wZzbeuORSOb_5-I_OMZhf7yio3O6ivZWJpIpQ0xKowl0M8gkIHDpO4KPn-vAEavv_SG&refId=2un2uXLQmWg1PrQY4NV1GA%3D%3D&trackingId=8%2BpHn0P%2FrVMaS56I8mANgg%3D%3D&trk=flagship3_search_srp_jobs,Data Scientist,Indonesia,[],0,2026-05-30T20:12:38.149651
4392809495,Operation Administration Intern (3 Months),PT Lion Super Indo,"Jakarta, Indonesia (On-site)",,"About the job

Tanggung Jawab

Menerima dan membuka dokumen dari toko yang ditujukan ke Store Support Administrasi
Mengelompokan dokumen berdasarkan district
Merekap dan menginput data dokumen ke dalam excel




Kualifikasi

Terbuka untuk mahasiswa aktif (D3/D4/S1) seluruh jurusan
Familiar dengan Microsoft Excel dan rumus-rumusnya (vlookup, hlookup, pivot, rumus aritmatika dasar)
Memiliki pemikiran analitis yang baik
Rajin, terbuka mempelajari hal baru, dan berorientasi pada detail
Bersedia magang pada hari kerja (Senin – Jumat) selama 3 bulan
Penempatan: JAKARTA (WFO)",https://www.linkedin.com/jobs/view/4392809495/?eBP=CwEAAAGeeQM3XLtN4_T5nfWQCd5IikZ9I_rhcUrl1EhsqjAtCnFAJ5CTs99Du40frPAzyAIZeau4mqQcIsRNKHdCrnb8M7Yq141k3CMd_mSaeuMWTUm5J8tQZQ3miYHk8Oh5FpRs6nb4di7gBywmbQhEppgdh2uHGNadrMUAoB5pNfSM5ca2QokvQ2fEJmOUdfV0B-XSg_vZ8FgTOwrsA4zB9Rnl-oqvUxDO5XZ8GRbRd3E9v8MirL6tunTK-5k6F0NGDcRcIue3S-bcoA2UbfPoQNeId2japqaYj082YQgm3nokB-nVonm2zAcYG4zLOCsAol0tYvyaPkeeWgKItdkrcb9PVLmjjjLgX5I1oAKtcNGMDUEaBqNYkw9lYTt56KivPk0ri18_MPvdcm2zTEpaJzto2tZ2W9UtceZXOuVFi4J5AzrNe0xx26fR_-tzHV-siEArRJvIq7wQGFLjTwGJOhCUjLZaddwmbfu6ZUt3u4zh9-rCThAZb7ge--hsIewjp_Qc&refId=2un2uXLQmWg1PrQY4NV1GA%3D%3D&trackingId=M503ddw3%2Fa%2FRzFdt%2BaDTJQ%3D%3D&trk=flagship3_search_srp_jobs,Data Scientist,Indonesia,[],0,2026-05-30T20:12:43.107739
4418237431,Retail Banking Data Scientist,PT Bank SMBC Indonesia Tbk,"Jakarta, Indonesia (Hybrid)",,"About the job

Grow and Make an Impact with Bank SMBC Indonesia




Formerly known as Bank BTPN, we are now proud to be PT Bank SMBC Indonesia Tbk, part of Sumitomo Mitsui Banking Corporation, one of the world’s leading global financial groups.

This transformation marks a renewed commitment to delivering world-class banking services, grounded in innovation, collaboration, and sustainability.




At Bank SMBC Indonesia, we believe a career is more than just a job, it is a journey of personal growth, meaningful connections, and lasting impact. Join us and be part of a digital and social transformation that touches millions of lives.




Job Qualifications:

Minimum Bachelor’s Degree (S1) in Mathematics, Statistics, Computer Science, Data Science, Machine Learning, or a related quantitative field.
Proficiency in programming languages and data tools, including but not limited to SQL, Python, R, Hadoop, SPSS, or SAS.
Strong data analysis, data verification, and structured problem-solving abilities.
Advanced proficiency in the Microsoft Office Suite (Excel, PowerPoint, Word).
Deep technical knowledge of data mining, statistical analysis, and machine learning techniques.
Strong financial acumen coupled with the ability to translate complex statistical insights into business strategies.
Excellent written, oral, and presentation skills, with a proven ability to listen effectively and communicate complex ideas to non-technical stakeholders.
Proven track record of working effectively in team-oriented, cross-functional environments.




Roles & Responsibilities:

Design, build, and maintain predictive and scoring models that drive volume growth, optimize risk, and increase productivity—directly impacting revenue and cost efficiency.
Create and implement predictive modeling and trend analysis tools that seamlessly integrate into existing systems, anticipating business needs and providing real-time solutions.Solve business issues using optimum machine learning techniques.
Resolve complex business challenges by applying optimum machine learning techniques.
Partner closely with business users and cross-functional teams to identify key needs, deliver robust model solutions, and formulate data-driven strategies.
Provide deep-dive analysis related to lending portfolio underwriting, strategy implementation, validation, and scorecard modeling.
Oversee data gathering, cleansing, transformation, and model enhancement (including integrating new data sources) to optimize predictive capabilities and elevate analytics performance.




At Bank SMBC Indonesia, your career is more than a job, it’s a journey of impact and growth. Our Employee Value Proposition (EVP) reflects the values we live by:




Impactfulness: Through collaboration, we strive to improve the lives of millions.




Self-Growth: We encourage you to be the best version of yourself, every single day.




Relationship: We’re more than just colleagues, we are a family.




Network: We build connections beyond banking, beyond borders.




Digitally Powered: We harness technology to reshape the future of banking.




Be part of something greater. Grow with us, lead with purpose, and create a lasting impact!",https://www.linkedin.com/jobs/view/4418237431/?eBP=CwEAAAGeeQM3XB9EJfVstcapeYp97TZZBThQG5ksytgJrsWyjxTVpN6CGyM0WTQZiAcvtJziTQ0r_zCbuyiWDT6ILzTHAAOWgVq4yMzVYR5AuJaI-mMkXpGlw7wWjJMP62k5ASoWNgDWdBLFEHgcRqcmSJV1oWTttmnlZ5ZgwzRpt_5U-3SIYgZ9Cykx_yJs_1WGhKOmDTKKNZtfrGAdfFSStELUN-0QJbDlPNleDOFhkjpgnCXiQoNVIE0daNbc3HjhjjU_dOaWU0BDGaak82nDgqnNNFucOK3oj1wCSzpKPIrfTqTomn_MwPl699yCbqheSdSJYU3h6eouiY-smzvf_PBDuCW_MmF3RC8stCL_WI8EQn2yAYIjryXBSoxozTFGU_7k0-YbtBW4995sOD8XGExJrNdzJXmqAm_7NBBSORyiuYLBnymAPdqeK40pQ5MvKYWFN2qy9vj-Gccv4K2cJ4nM3ok35E4SW5zlcxvQ06qdbg&refId=2un2uXLQmWg1PrQY4NV1GA%3D%3D&trackingId=DPTA6xXny%2FfeSglFn8QdCA%3D%3D&trk=flagship3_search_srp_jobs,Data Scientist,Indonesia,"['hadoop', 'sql', 'git', 'python']",4,2026-05-30T20:12:48.091040
4411628477,Financial Analyst,PT HM Sampoerna Tbk.,"West Karawang, West Java, Indonesia (On-site)",,"About the job

BE A PART OF A REVOLUTIONARY CHANGE!

At PMI, we’ve chosen to do something incredible. We’re totally transforming our business and building our future on one clear purpose – to deliver a smoke-free future.

With huge change, comes huge opportunity. So, wherever you join us, you’ll enjoy the freedom to dream up and deliver better, brighter solutions and the space to move your career forward in endlessly different directions.

Wherever you join our crucial 47,000-strong Operations team, you’ll have the opportunity to make an impact. PMI’s shift from selling cigarettes to our new smoke-free products has changed the way we work. New products bring new challenges – in the way we source and buy raw materials, in the way we engineer and manufacture, and in our supply chain planning.

Bring us your curiosity and a desire to challenge the everyday and we’ll give you lots of responsibility. You’ll help us improve, inject innovation and create new ways of working. You’ll be solving supply chain problems that span the whole world: a smoke-free world.

YOUR ""DAY-TO-DAY""

This role supports operational planning and performance management within the manufacturing and factory controlling environment. The position plays a key role in ensuring that plans, data, and execution are aligned to business objectives by providing analytical support, coordination, and structured insights to stakeholders across functions.

The role is suitable for candidates with strong analytical capability, planning discipline, and the ability to work cross‑functionally in a structured manufacturing setting.

Key Accountabilities


Support operational and business planning processes across manufacturing activities
Consolidate, analyze, and interpret operational, financial, and performance data to support management decision‑making
Monitor plans versus actuals, identify gaps or risks, and support follow‑up actions
Coordinate with cross‑functional teams to ensure alignment on assumptions, priorities, and timelines
Prepare regular management reports, dashboards, and materials for reviews and governance forums
Support continuous improvement initiatives through analysis, standardization, and process discipline
Ensure data accuracy, consistency, and adherence to established control and governance frameworks


Who We're Looking For


Minimum Bachelor Degree in Industrial Engineering or Finance/Economics/Accounting or relevant skills through demonstrated experience (open for Fresh Graduate)
Having 1-2 years of relevant experience in multinational company would be beneficial
Fluent both in English and Bahasa Indonesia in both speaking and written
Have strong communication & interpersonal skills and have attention to detail
Agile and innovative in problem solving
Advanced knowledge in Excel
Has knowledge in GMRB and SAP would be preferable
Have good analytical skills - data interpretation, business acumen, and business partnering
Willing to go on business trip and to be located in all HM Sampoerna plants.


What We Offer

Our success depends on our talented employees who come to work here every single day with a sense of purpose and an appetite for progress. Join PMI and you too can:


 Seize the freedom to define your future and ours. We’ll empower you to take risks, experiment and explore.
 Be part of an inclusive, diverse culture, where everyone’s contribution is respected; collaborate with some of the world’s best people and feel like you belong.
 Pursue your ambitions and develop your skills with a global business – our staggering size and scale provides endless opportunities to progress.
 Take pride in delivering our promise to society: to deliver a smoke-free future.


To join our growing team…

#Sampoerna

27154",https://www.linkedin.com/jobs/view/4411628477/?eBP=CwEAAAGeeQM3XFxTZPvg6ehhbuUju55JbrSJ9ddZNQy_EMd7ddSq6inMMrzRXCppavYmvMz50hTr-RAGZ9nbXr1ZjxQyx2sZpn6IxerZaJRgLbzGJSclkC7cIvcd-pAnDojF2uN-qerPeKy4KW28SPBQn1ULhY46XV5Q1yLT8kGHU6LY0PuIWrDhFOlGR-rZ8yDpDnffTtht9Xl4mex0hOThHlTfNegghP-cZ4dob9Eg8O14DHumFqAORAv53cX7GEVVC8T1-ZAwIV6Q9IStbWk5PAs4s9d7IfsuYiXNLiPRCbp02To56_mPnO04Bm9WZrFkmIpro7eY9-xUYZwsJvIvwvHk7Mb8HAcHiQ2bZDuirHKqo91FYZ_ZFaKAVlc8mA22ubFbT-2z5GvuUCL2KSk_SAJzsqFGayKcM86LLboLiHvKn_56PY0zTIPEguEtJ6AGYju6pRK2OrppZzDUCXnd3rGjcOVFSI3r5FXsF7BUmueUVsZG&refId=2un2uXLQmWg1PrQY4NV1GA%3D%3D&trackingId=xOk30n4%2FIUp0E%2B%2BnApZncg%3D%3D&trk=flagship3_search_srp_jobs,Data Scientist,Indonesia,"['ios', 'agile']",2,2026-05-30T20:12:53.279300
4418931929,Merchandising Intern,AlloFresh,"Jakarta, Indonesia (On-site)",,"About the job

Responsibilities:

Assist in managing product listings and price maintenance on the platform.
Support the merchandising team in organizing and analyzing product assortment and availability.
Coordinate with suppliers and internal teams for timely updates on inventory, pricing, and promotions.
Help track and update weekly promotional plans and campaign performance.
Conduct regular audits to ensure product content accuracy (images, descriptions, pricing).
Provide administrative support such as data entry, stock monitoring, and report preparation.
Participate in market and competitor research to identify trends and opportunities.




Requirements:

Final-year student or fresh graduate from Business, Marketing, or related fields.
Proficient in Excel or Google Sheets (VLOOKUP, PivotTable basics preferred).
Detail-oriented, organized, and able to multitask in a fast-paced environment.
Strong interest in e-commerce, retail, or FMCG.
Good communication and coordination skills.
Willing to learn and grow in a dynamic team setting.",https://www.linkedin.com/jobs/view/4418931929/?eBP=CwEAAAGeeQM3XCfeeR1x_bHP7YoVIxoiJY5VI40yr8GtiCyrUCKUs-OVucBDRs5-KsSQGkq6q1tq0OjzDpa5VEwySKLKrSj88vu3coHrZUIOeW8b-B9uhj9Y0ObK6V3fJ_87EsQKcQjwRqNr-aLkH-BCUfXM-zdILfcscqIThkmWlg_n3ty8euULD_smMeev_zS98GLdTMMhjojduJ06TGUfZY59No1mIxholKh2pQGjH35Fam3iufmWL-FQlGLQznQZ2hAYib9o-oGFTAPf9zxkQvzYRzG7bkN42O6o5Ao_e_npuSstGG5unRunipQErmmi7XSHHlDB0WpnlzSj9zuwELMum7tsp5pItmnuHESfnpY5_yaU63TopPxjXQfaa17KlbHNvCYm9fsgrRgwSd5ofaAC23YLaAIWyhTQzxTnbBXkcXQUdcHBzcddEs_9fEiN0GDss3GZK8fl093L&refId=2un2uXLQmWg1PrQY4NV1GA%3D%3D&trackingId=WJ9xDLhGrWeGPMUhR2TSiw%3D%3D&trk=flagship3_search_srp_jobs,Data Scientist,Indonesia,[],0,2026-05-30T20:12:58.306081
